player,minutes_played,goals,xg,assists,xa,passes,prog_passes,goals_p90,xg_p90,assists_p90,xa_p90,team
Jesús Navas González,2925,0.0,2.8745031954,7.0,0.0,1452.0,176.0,0.0,0.0884462521661538,0.2153846153846154,0.0,Manchester City
Damien Delaney,2919,2.0,2.492365992,3.0,0.0,1072.0,383.0,0.0616649537512846,0.0768458168139773,0.092497430626927,0.0,Crystal Palace
Marko Arnautović,2918,11.0,11.080028553,6.0,0.0,1161.0,138.0,0.339273474982865,0.3417417990986977,0.1850582590815627,0.0,Stoke City
Christian Fuchs,2916,0.0,1.000457038,4.0,0.0,1665.0,506.0,0.0,0.0308783036419753,0.1234567901234567,0.0,Leicester City
Rudy Gestede,2914,5.0,5.23936865,1.0,0.0,594.0,22.0,0.15442690459849,0.1618198965339739,0.030885380919698,0.0,Aston Villa
Bafétimbi Gomis,2914,6.0,7.6276042785,0.0,0.0,499.0,37.0,0.185312285518188,0.2355814636461908,0.0,0.0,Swansea City
Jermain Defoe,2913,15.0,13.2098756745,1.0,0.0,439.0,42.0,0.4634397528321318,0.408132101168898,0.0308959835221421,0.0,Sunderland
Ayoze Pérez Gutiérrez,2900,6.0,3.6851812935,2.0,0.0,658.0,99.0,0.1862068965517241,0.1143676953155172,0.0620689655172413,0.0,Newcastle United
Laurent Koscielny,2899,4.0,3.20216603,0.0,0.0,1671.0,343.0,0.1241807519834425,0.0994118463953087,0.0,0.0,Arsenal
Joleon Lescott,2889,2.0,1.541028678,0.0,0.0,1043.0,264.0,0.0623052959501557,0.0480071239252336,0.0,0.0,Aston Villa
Joleon Lescott,2889,2.0,1.541028678,0.0,0.0,1043.0,264.0,0.0623052959501557,0.0480071239252336,0.0,0.0,West Bromwich Albion
Etienne Capoue,2886,0.0,2.7560736759,1.0,0.0,1595.0,285.0,0.0,0.085948243531185,0.0311850311850311,0.0,Watford
Ashley Westwood,2861,2.0,2.097580091,2.0,0.0,1626.0,400.0,0.0629150646627053,0.0659846935302341,0.0629150646627053,0.0,Aston Villa
Craig Gardner,2857,3.0,3.892689569,3.0,0.0,745.0,219.0,0.0945047252362618,0.1226258527161358,0.0945047252362618,0.0,West Bromwich Albion
Adam Smith,2850,2.0,0.5216790726,0.0,0.0,1274.0,144.0,0.0631578947368421,0.0164740759768421,0.0,0.0,AFC Bournemouth
Jack Butland,2846,0.0,0.0,0.0,0.0,1013.0,749.0,0.0,0.0,0.0,0.0,Stoke City
José Salomón Rondón Giménez,2835,9.0,8.3394650601,2.0,0.0,662.0,54.0,0.2857142857142857,0.2647449225428571,0.0634920634920635,0.0,West Bromwich Albion
Erik Lamela,2834,5.0,5.8722971993,8.0,0.0,1117.0,149.0,0.1587861679604799,0.1864879138803811,0.2540578687367678,0.0,Tottenham Hotspur
Anthony Martial,2826,11.0,6.9013401825,3.0,0.0,938.0,61.0,0.3503184713375796,0.2197879039012738,0.0955414012738853,0.0,Manchester United
Aaron Ramsey,2826,5.0,7.3723388698,4.0,0.0,2197.0,274.0,0.1592356687898089,0.2347878620955414,0.1273885350318471,0.0,Arsenal
Steven Davis,2818,5.0,2.0640061254,2.0,0.0,1634.0,322.0,0.1596877217885024,0.065919287184528,0.063875088715401,0.0,Southampton
Bamidele Alli,2815,10.0,8.3984632963,8.0,0.0,1094.0,106.0,0.3197158081705151,0.2685121480166962,0.2557726465364121,0.0,Tottenham Hotspur
Nemanja Matić,2813,2.0,2.358404828,2.0,0.0,1653.0,237.0,0.0639886242445787,0.0754555401777461,0.0639886242445787,0.0,Chelsea
Daryl Janmaat,2805,2.0,1.2038169734,4.0,0.0,1731.0,323.0,0.0641711229946524,0.0386251435315508,0.1283422459893048,0.0,Newcastle United
Wilfried Zaha,2802,2.0,2.407636951,1.0,0.0,699.0,97.0,0.0642398286937901,0.0773330926445396,0.032119914346895,0.0,Crystal Palace
Fernando Luiz Rosa,2801,2.0,1.545729209,2.0,0.0,1812.0,229.0,0.0642627632988218,0.049666415141021,0.0642627632988218,0.0,Manchester City
Philipp Wollscheid,2786,0.0,0.134113701,0.0,0.0,1199.0,301.0,0.0,0.0043324598312993,0.0,0.0,Stoke City
Russell Martin,2764,3.0,1.669420354,0.0,0.0,1332.0,362.0,0.097684515195369,0.0543588393125904,0.0,0.0,Norwich City
Yohan Cabaye,2762,5.0,6.5845827706,1.0,0.0,1433.0,372.0,0.1629254163649529,0.2145591778979,0.0325850832729905,0.0,Crystal Palace
